k	p	c	o	f	sp1	sp2	sp3	sp4
Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	1937	1338	1155	1969
Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	1666	887	694	1364
Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	497	354	328	507
Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	1261	918	775	1376
Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	2465	1727	1447	2447
Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	299	234	182	287
Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Pyriculariaceae	765	536	430	769
Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	36	20	25	49
Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	843	692	1431	1013
Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	173	118	111	210
Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	530	410	370	616
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	906	665	529	1088
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	267	177	160	284
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	136	83	79	134
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	56	44	47	81
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	18	14	12	23
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	17	9	7	14
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	7	15	10	23
Fungi	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	511	427	374	635
Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	658	436	430	679
Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	196	167	126	263
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	58	56	46	69
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	31	28	26	32
Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	63	40	37	69
Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	100	91	59	145
Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	164	134	130	287
Fungi	Microsporidia	-	-	Unikaryonidae	11	5	7	14
