k	p	c	o	sp1	sp2	sp3	sp4
Fungi	Ascomycota	Sordariomycetes	Hypocreales	4102	2580	2178	3841
Fungi	Ascomycota	Sordariomycetes	Glomerellales	1261	918	775	1376
Fungi	Ascomycota	Sordariomycetes	Sordariales	2764	1961	1630	2735
Fungi	Ascomycota	Sordariomycetes	Magnaporthales	765	536	430	769
Fungi	Ascomycota	Leotiomycetes	Helotiales	36	20	25	49
Fungi	Ascomycota	Eurotiomycetes	Eurotiales	1016	811	1542	1224
Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	530	410	370	616
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	1409	1010	847	1650
Fungi	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	511	427	374	635
Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	658	436	430	679
Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	196	167	126	263
Fungi	Basidiomycota	Agaricomycetes	Agaricales	89	84	72	102
Fungi	Basidiomycota	Agaricomycetes	Cantharellales	63	40	37	69
Fungi	Basidiomycota	Tremellomycetes	Tremellales	100	91	59	145
Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	164	134	130	287
