#OTU ID	HP01	HP02	HP03	HP04	HP05	HP06	HP09	HP10	HP11	HP12	HP13	HP14	HP15	MD01	MD02	MD03	MD04	MD05	MD06	MD07	MD08	MD09	MD10	MD11	MD12	MD13	MD14	MD15	MD16
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	4753.0	3942.0	7325.0	1852.0	2709.0	3848.0	20051.0	49037.0	31724.0	5955.0	7109.0	4898.0	20694.0	29339.0	29599.0	22800.0	8524.0	27073.0	2487.0	46577.0	2318.0	4533.0	3674.0	10811.0	26141.0	17279.0	29407.0	26980.0	24780.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella_7	2917.0	3614.0	1543.0	723.0	1861.0	2517.0	4367.0	12784.0	3172.0	865.0	3225.0	1174.0	5200.0	22313.0	13333.0	19078.0	7109.0	13014.0	2086.0	3669.0	539.0	0.0	2235.0	1180.0	14973.0	17916.0	14889.0	17220.0	11309.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium	252.0	1123.0	359.0	530.0	758.0	611.0	8837.0	1749.0	2148.0	4010.0	1192.0	1280.0	13334.0	1808.0	10313.0	6043.0	2396.0	2648.0	2844.0	3614.0	1116.0	836.0	715.0	861.0	3690.0	5093.0	4106.0	18657.0	5133.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia	622.0	282.0	172.0	1150.0	247.0	503.0	8439.0	27435.0	2652.0	306.0	231.0	130.0	13495.0	3438.0	1273.0	9958.0	482.0	1896.0	1140.0	7628.0	199.0	123.0	131.0	37.0	491.0	1619.0	3844.0	8412.0	7023.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus	1015.0	1276.0	146.0	500.0	1247.0	731.0	4230.0	958.0	11733.0	5152.0	1916.0	3564.0	4539.0	3544.0	5751.0	9783.0	1196.0	6495.0	315.0	7210.0	869.0	1519.0	583.0	3459.0	6364.0	3044.0	10730.0	3194.0	6658.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella	915.0	845.0	2050.0	593.0	1043.0	1256.0	3787.0	11499.0	3710.0	1055.0	635.0	379.0	5384.0	11766.0	10325.0	20851.0	2022.0	3880.0	971.0	3944.0	873.0	158.0	1101.0	746.0	5813.0	5044.0	5141.0	6610.0	6606.0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__TM7x	174.0	0.0	0.0	0.0	0.0	167.0	1870.0	1025.0	532.0	188.0	228.0	69.0	2734.0	685.0	555.0	4062.0	703.0	673.0	336.0	1934.0	0.0	42.0	0.0	50.0	10.0	1102.0	810.0	3544.0	8303.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella	132.0	714.0	279.0	153.0	547.0	376.0	2477.0	1613.0	2871.0	1931.0	705.0	1028.0	1952.0	782.0	6168.0	2524.0	568.0	1305.0	334.0	4420.0	362.0	1008.0	487.0	2015.0	1713.0	2351.0	1923.0	1868.0	2844.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;__;__	189.0	467.0	169.0	210.0	495.0	400.0	1191.0	1742.0	2377.0	1090.0	346.0	953.0	759.0	746.0	3542.0	1682.0	728.0	1211.0	80.0	947.0	180.0	689.0	436.0	1353.0	1314.0	1679.0	1368.0	867.0	2519.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria	574.0	819.0	233.0	2031.0	967.0	1118.0	8125.0	6419.0	10700.0	4701.0	1076.0	7834.0	3759.0	1879.0	35764.0	42.0	1747.0	7639.0	514.0	7604.0	1216.0	2816.0	859.0	2002.0	13277.0	3992.0	4919.0	4056.0	7146.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Lautropia	86.0	37.0	12.0	9.0	0.0	21.0	2815.0	5727.0	10805.0	189.0	31.0	21.0	24703.0	129.0	658.0	157.0	987.0	145.0	278.0	1438.0	10.0	55.0	56.0	37.0	55.0	163.0	0.0	325.0	3993.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	1035.0	1619.0	402.0	1112.0	877.0	788.0	1490.0	1443.0	1095.0	2748.0	1380.0	459.0	3319.0	4418.0	3429.0	6698.0	763.0	6197.0	1366.0	1128.0	2445.0	131.0	1412.0	650.0	11986.0	4919.0	3268.0	6730.0	6423.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	26.0	1089.0	182.0	466.0	1697.0	408.0	2024.0	631.0	4558.0	5682.0	976.0	3733.0	2965.0	1121.0	8572.0	1070.0	1991.0	2655.0	804.0	2676.0	552.0	1251.0	912.0	966.0	7178.0	876.0	5371.0	2800.0	2723.0
d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter	128.0	119.0	181.0	87.0	168.0	121.0	2380.0	959.0	1311.0	202.0	83.0	78.0	3253.0	1057.0	1234.0	1825.0	395.0	645.0	664.0	862.0	89.0	47.0	114.0	141.0	249.0	2738.0	678.0	3458.0	1977.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oribacterium	165.0	245.0	323.0	52.0	137.0	135.0	2092.0	874.0	685.0	255.0	133.0	49.0	1917.0	767.0	2279.0	3481.0	361.0	445.0	1145.0	417.0	147.0	181.0	43.0	181.0	334.0	913.0	323.0	2063.0	1404.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella	845.0	1875.0	71.0	195.0	581.0	316.0	516.0	292.0	707.0	572.0	1095.0	537.0	4480.0	1913.0	4084.0	2972.0	468.0	4878.0	755.0	1441.0	315.0	681.0	655.0	2177.0	2301.0	834.0	1140.0	5530.0	2867.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia	116.0	25.0	213.0	63.0	101.0	307.0	1389.0	4098.0	6584.0	1514.0	319.0	1799.0	2415.0	2894.0	6413.0	3433.0	2299.0	1324.0	45.0	1552.0	0.0	166.0	82.0	626.0	1346.0	3660.0	1830.0	282.0	5623.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Peptostreptococcus	118.0	354.0	67.0	152.0	205.0	82.0	194.0	17.0	304.0	303.0	207.0	42.0	658.0	478.0	655.0	304.0	24.0	1073.0	315.0	262.0	166.0	25.0	281.0	94.0	632.0	632.0	408.0	827.0	581.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;__	214.0	119.0	93.0	30.0	52.0	150.0	1520.0	1502.0	322.0	404.0	157.0	78.0	2188.0	1133.0	739.0	2364.0	507.0	737.0	683.0	509.0	55.0	21.0	234.0	109.0	1088.0	1147.0	1298.0	473.0	1688.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__	62.0	0.0	0.0	164.0	25.0	57.0	1258.0	2653.0	143.0	21.0	16.0	0.0	1013.0	477.0	27.0	100.0	14.0	259.0	226.0	883.0	0.0	0.0	0.0	0.0	229.0	0.0	330.0	26.0	805.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014;g__Clostridia_UCG-014	18.0	39.0	17.0	58.0	24.0	141.0	3322.0	442.0	308.0	130.0	88.0	75.0	1513.0	324.0	455.0	270.0	188.0	230.0	110.0	1268.0	16.0	43.0	22.0	7.0	0.0	346.0	201.0	335.0	5079.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium	60.0	46.0	15.0	0.0	10.0	66.0	185.0	580.0	24.0	20.0	49.0	9.0	264.0	946.0	174.0	1234.0	139.0	560.0	91.0	59.0	11.0	0.0	31.0	43.0	227.0	387.0	268.0	796.0	243.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia	0.0	54.0	10.0	10.0	13.0	24.0	109.0	932.0	1185.0	32.0	42.0	9.0	914.0	89.0	713.0	0.0	9.0	208.0	0.0	1098.0	16.0	228.0	72.0	60.0	30.0	9.0	299.0	38.0	355.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	64.0	22.0	66.0	0.0	30.0	38.0	4919.0	6776.0	1330.0	344.0	300.0	57.0	3859.0	1339.0	1126.0	4618.0	858.0	1671.0	116.0	1672.0	84.0	0.0	0.0	130.0	466.0	1328.0	1743.0	3932.0	3197.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium	35.0	191.0	63.0	18.0	50.0	51.0	258.0	128.0	55.0	72.0	77.0	43.0	189.0	464.0	458.0	435.0	102.0	368.0	54.0	177.0	26.0	5.0	135.0	20.0	117.0	303.0	174.0	1191.0	853.0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Candidatus_Saccharimonas	0.0	0.0	10.0	0.0	37.0	0.0	619.0	118.0	69.0	108.0	69.0	38.0	533.0	304.0	423.0	456.0	910.0	237.0	567.0	391.0	0.0	0.0	15.0	76.0	52.0	136.0	929.0	577.0	1618.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoanaerobaculum	114.0	125.0	64.0	52.0	74.0	148.0	1487.0	1130.0	139.0	137.0	67.0	31.0	749.0	207.0	409.0	608.0	98.0	796.0	306.0	367.0	61.0	34.0	24.0	23.0	375.0	514.0	296.0	355.0	613.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium]_nodatum_group	38.0	55.0	16.0	30.0	48.0	49.0	87.0	32.0	39.0	104.0	31.0	48.0	440.0	564.0	523.0	753.0	45.0	402.0	54.0	79.0	36.0	0.0	78.0	13.0	158.0	267.0	204.0	591.0	232.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__Selenomonas	14.0	44.0	68.0	36.0	15.0	58.0	787.0	1944.0	41.0	16.0	2.0	0.0	1275.0	1066.0	166.0	341.0	81.0	223.0	181.0	125.0	0.0	0.0	28.0	0.0	160.0	1117.0	95.0	258.0	509.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga	39.0	164.0	11.0	63.0	119.0	81.0	1173.0	976.0	2452.0	632.0	255.0	192.0	4331.0	164.0	485.0	342.0	351.0	310.0	355.0	1707.0	86.0	411.0	93.0	93.0	96.0	288.0	0.0	1017.0	2008.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Aggregatibacter	0.0	0.0	15.0	0.0	0.0	166.0	289.0	182.0	1137.0	118.0	35.0	16.0	682.0	320.0	1701.0	257.0	279.0	103.0	11.0	2521.0	0.0	123.0	108.0	45.0	16.0	20.0	0.0	0.0	625.0
d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacteriales_(SR1);f__Absconditabacteriales_(SR1);g__Absconditabacteriales_(SR1)	0.0	241.0	0.0	52.0	12.0	5.0	180.0	41.0	91.0	296.0	311.0	443.0	618.0	110.0	66.0	9.0	29.0	547.0	465.0	440.0	244.0	266.0	0.0	6.0	0.0	16.0	277.0	2154.0	583.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Bergeyella	23.0	162.0	14.0	27.0	49.0	39.0	182.0	783.0	857.0	227.0	19.0	818.0	655.0	41.0	239.0	15.0	39.0	77.0	7.0	789.0	79.0	458.0	150.0	150.0	370.0	259.0	142.0	225.0	878.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Family_XI;g__Parvimonas	9.0	296.0	6.0	26.0	213.0	69.0	146.0	162.0	204.0	307.0	39.0	66.0	961.0	106.0	1711.0	337.0	385.0	81.0	75.0	182.0	31.0	40.0	35.0	14.0	0.0	82.0	18.0	500.0	131.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Stomatobaculum	47.0	44.0	24.0	9.0	28.0	39.0	547.0	1052.0	13.0	161.0	26.0	15.0	139.0	186.0	123.0	851.0	189.0	49.0	211.0	173.0	68.0	16.0	7.0	45.0	309.0	233.0	297.0	337.0	69.0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadales;g__Saccharimonadales	0.0	0.0	0.0	0.0	0.0	0.0	430.0	1300.0	56.0	52.0	85.0	278.0	668.0	530.0	219.0	249.0	170.0	404.0	42.0	848.0	29.0	0.0	0.0	654.0	0.0	30.0	34.0	200.0	672.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Catonella	14.0	73.0	19.0	3.0	30.0	0.0	410.0	107.0	267.0	40.0	27.0	0.0	619.0	109.0	323.0	138.0	28.0	165.0	143.0	136.0	33.0	38.0	20.0	18.0	38.0	232.0	32.0	775.0	227.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;__	0.0	11.0	0.0	18.0	0.0	19.0	99.0	94.0	115.0	362.0	22.0	19.0	1900.0	15.0	142.0	0.0	10.0	24.0	10.0	86.0	0.0	42.0	19.0	0.0	0.0	5.0	0.0	26.0	238.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Tannerella	0.0	70.0	0.0	7.0	0.0	66.0	554.0	263.0	78.0	6.0	8.0	16.0	838.0	89.0	673.0	295.0	125.0	64.0	61.0	133.0	0.0	12.0	15.0	14.0	0.0	203.0	0.0	1361.0	90.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__F0058	6.0	23.0	0.0	0.0	0.0	15.0	23.0	181.0	110.0	0.0	9.0	2.0	1052.0	12.0	773.0	704.0	155.0	34.0	10.0	29.0	0.0	25.0	0.0	0.0	0.0	3.0	0.0	60.0	181.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Megasphaera	43.0	23.0	19.0	0.0	0.0	90.0	249.0	786.0	0.0	0.0	44.0	4.0	587.0	992.0	125.0	1677.0	243.0	181.0	96.0	27.0	0.0	0.0	61.0	27.0	283.0	144.0	121.0	137.0	262.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio	18.0	68.0	0.0	13.0	0.0	36.0	14.0	164.0	78.0	8.0	6.0	0.0	55.0	51.0	23.0	342.0	0.0	59.0	29.0	24.0	0.0	0.0	0.0	0.0	41.0	93.0	398.0	473.0	39.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium]_brachy_group	0.0	8.0	0.0	0.0	3.0	18.0	0.0	204.0	80.0	0.0	5.0	0.0	608.0	22.0	1086.0	85.0	232.0	8.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	29.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	441.0	332.0	0.0	0.0	0.0	0.0	0.0	0.0	738.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	402.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__Selenomonadaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	277.0	0.0	0.0	0.0	0.0	1710.0	30.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	75.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Filifactor	0.0	0.0	0.0	0.0	0.0	16.0	11.0	130.0	0.0	0.0	9.0	9.0	361.0	72.0	768.0	0.0	130.0	0.0	7.0	86.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	127.0	0.0	29.0	0.0	56.0	10.0	105.0	172.0	0.0	725.0	0.0	266.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	137.0
