Window	Midpoint	Pi	Theta	S
      1-346	  158	0.10282	0.10115	 112
     28-371	  183	0.11635	0.11018	 122
     54-396	  246	0.12261	0.11741	 130
     81-421	  271	0.13722	0.12734	 141
    106-446	  296	0.15531	0.13637	 151
    131-471	  321	0.17038	0.14450	 160
    159-496	  346	0.18833	0.15805	 175
    184-521	  371	0.20842	0.16798	 186
    247-546	  396	0.20759	0.16528	 183
    272-571	  421	0.20772	0.16166	 179
    297-596	  446	0.21377	0.16437	 182
    322-621	  471	0.21424	0.16257	 180
    347-646	  496	0.22091	0.16437	 182
    372-671	  521	0.23308	0.17069	 189
    397-696	  546	0.24088	0.17521	 194
    422-721	  571	0.24522	0.17702	 196
    447-746	  596	0.24551	0.17973	 199
    472-771	  621	0.23929	0.17521	 194
    497-796	  646	0.24859	0.17611	 195
    522-821	  671	0.24206	0.17521	 194
    547-846	  696	0.25199	0.17973	 199
    572-871	  721	0.25621	0.18605	 206
    597-896	  746	0.25341	0.18605	 206
    622-921	  771	0.27626	0.19689	 218
    647-946	  796	0.28862	0.20050	 222
    672-971	  821	0.27599	0.19147	 212
    697-996	  846	0.27258	0.18785	 208
   722-1021	  871	0.27040	0.18966	 210
   747-1046	  896	0.27937	0.19418	 215
   772-1071	  921	0.28648	0.19779	 219
   797-1096	  946	0.27507	0.19147	 212
   822-1121	  971	0.27491	0.19147	 212
   847-1149	  996	0.27165	0.19237	 213
   872-1177	 1021	0.28144	0.19418	 215
   897-1205	 1046	0.28513	0.19598	 217
   922-1237	 1071	0.26287	0.18876	 209
   947-1264	 1096	0.23750	0.17702	 196
   972-1296	 1121	0.23113	0.17792	 197
   997-1327	 1149	0.22129	0.17521	 194
  1022-1354	 1177	0.21420	0.17069	 189
  1047-1384	 1205	0.19801	0.16076	 178
  1072-1409	 1237	0.18443	0.15173	 168
  1097-1445	 1264	0.18377	0.15173	 168
  1122-1470	 1296	0.17282	0.14450	 160
  1150-1495	 1327	0.16277	0.13818	 153
  1178-1520	 1354	0.14036	0.12734	 141
  1206-1545	 1384	0.13051	0.12012	 133
  1238-1570	 1409	0.13275	0.11921	 132
  1265-1595	 1445	0.13395	0.12012	 133
  1297-1620	 1470	0.13601	0.11560	 128
  1328-1645	 1495	0.14207	0.11470	 127
  1355-1670	 1520	0.13862	0.10928	 121
  1385-1695	 1545	0.13470	0.10657	 118
  1410-1720	 1570	0.13445	0.10747	 119
  1446-1745	 1595	0.12837	0.10386	 115
  1471-1770	 1620	0.13933	0.11018	 122
  1496-1795	 1645	0.13818	0.11018	 122
  1521-1820	 1670	0.13955	0.10747	 119
