0_0	XP_010706234.2
1_7	XP_032302195.1
2_3	XP_021240136.1
3_3	XP_040400452.1
4_2	XP_032063692.1
5_16	XP_035171505.1
6_2	XP_035425227.1
7_3	XP_038029232.1
8_33	NP_001026572.1
9_13	XP_048781658.1
10_2648	jirou002500.1
0_6	XP_010708874.1
1_13	XP_015726376.1
2_8	XP_021239871.1
3_9	XP_040400513.1
4_7	XP_032063558.1
5_14050	XP_035166983.1
6_7	XP_035425164.1
7_8	XP_038039423.1
8_38	XP_424471.4
9_17	XP_048781680.1
10_2644	jirou002496.1
0_22	XP_010727090.1
1_22	XP_015706975.1
2_20	XP_021239881.1
3_24	XP_040400939.1
4_22	XP_032038059.1
5_4	XP_035170945.1
6_23	XP_035425170.1
7_27	XP_027317723.2
8_49	XP_015134329.2
9_30	XP_048781468.1
10_2665	jirou002516.1
0_36	XP_010706070.1
1_39	XP_015712434.1
2_34	XP_021239916.1
3_46	XP_040401487.1
4_39	XP_032053636.1
5_25	XP_035196328.1
6_44	XP_035422514.1
7_41	XP_027317412.2
8_66	XP_425257.3
9_46	XP_048790540.1
10_2684	jirou002532.1
0_95	XP_010716478.2
1_103	XP_015729523.1
2_101	XP_021240095.1
3_105	XP_040403774.1
4_98	XP_032063876.1
5_81	XP_035188844.1
6_103	XP_035405341.1
7_101	XP_038025767.1
8_170	NP_001383360.1
9_121	XP_048818978.1
10_2604	jirou002460.1
0_253	XP_003202013.1
1_222	XP_015708835.1
2_222	XP_021240501.1
3_224	XP_040405925.1
4_216	XP_032058780.1
5_200	XP_035194862.1
6_221	XP_035415239.1
7_222	XP_027313668.2
8_291	NP_001025904.2
9_249	XP_048815064.1
10_2438	jirou002303.1
