k141_3934702_2	K03522,K22432
k141_3934701_2	K16267
k141_3934687_2	K03470
k141_3934683_2	K01755,K14681
k141_3934680_2	K02014
k141_3934676_1	K05559
k141_3934671_2	K02115
k141_3934647_1	K03046
k141_3934646_1	K13641
k141_3934640_6	K07106
k141_3934640_4	K00761
k141_3933740_1	K03693,K03814,K04478,K05365,K05366,K05367,K12551,K12555,K18770,K21464
k141_3933732_3	K01710,K01784,K12450
